Undergraduate Major,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 90th Percentile Salary,Group,Cluster
Accounting,46000.0,77100.0,42200.0,152000.0,Business,0
Aerospace Engineering,57700.0,101000.0,64300.0,161000.0,STEM,1
Agriculture,42600.0,71900.0,36300.0,150000.0,Business,0
Anthropology,36800.0,61500.0,33800.0,138000.0,HASS,0
Architecture,41600.0,76800.0,50600.0,136000.0,Business,0
Art History,35800.0,64900.0,28800.0,125000.0,HASS,2
Biology,38800.0,64800.0,36900.0,135000.0,STEM,0
Business Management,43000.0,72100.0,38800.0,147000.0,Business,0
Chemical Engineering,63200.0,107000.0,71900.0,194000.0,STEM,1
Chemistry,42600.0,79900.0,45300.0,148000.0,STEM,0
Civil Engineering,53900.0,90500.0,63400.0,148000.0,STEM,1
Communications,38100.0,70000.0,37500.0,143000.0,HASS,0
Computer Engineering,61400.0,105000.0,66100.0,162000.0,STEM,1
Computer Science,55900.0,95500.0,56000.0,154000.0,STEM,1
Construction,53700.0,88900.0,56300.0,171000.0,Business,1
Criminal Justice,35000.0,56300.0,32200.0,107000.0,HASS,2
Drama,35900.0,56900.0,36700.0,153000.0,HASS,0
Economics,50100.0,98600.0,50600.0,210000.0,Business,1
Education,34900.0,52000.0,29300.0,102000.0,HASS,2
Electrical Engineering,60900.0,103000.0,69300.0,168000.0,STEM,1
English,38000.0,64700.0,33400.0,133000.0,HASS,0
Film,37900.0,68500.0,33900.0,136000.0,HASS,0
Finance,47900.0,88300.0,47200.0,195000.0,Business,1
Forestry,39100.0,62600.0,41000.0,111000.0,Business,2
Geography,41200.0,65500.0,40000.0,132000.0,HASS,0
Geology,43500.0,79500.0,45000.0,156000.0,STEM,0
Graphic Design,35700.0,59800.0,36000.0,112000.0,HASS,2
Health Care Administration,38800.0,60600.0,34600.0,101000.0,Business,2
History,39200.0,71000.0,37000.0,149000.0,HASS,0
Hospitality & Tourism,37800.0,57500.0,35500.0,124000.0,Business,2
Industrial Engineering,57700.0,94700.0,57100.0,173000.0,STEM,1
Information Technology (IT),49100.0,74800.0,44500.0,129000.0,STEM,0
Interior Design,36100.0,53200.0,35700.0,107000.0,HASS,2
International Relations,40900.0,80900.0,38200.0,157000.0,HASS,0
Journalism,35600.0,66700.0,38400.0,145000.0,HASS,0
Management Information Systems (MIS),49200.0,82300.0,45300.0,146000.0,STEM,0
Marketing,40800.0,79600.0,42100.0,175000.0,Business,0
Math,45400.0,92400.0,45200.0,183000.0,STEM,1
Mechanical Engineering,57900.0,93600.0,63700.0,163000.0,STEM,1
Music,35900.0,55000.0,26700.0,134000.0,HASS,2
Nursing,54200.0,67000.0,47600.0,98300.0,Business,2
Nutrition,39900.0,55300.0,33900.0,99200.0,HASS,2
Philosophy,39900.0,81200.0,35500.0,168000.0,HASS,0
Physician Assistant,74300.0,91700.0,66400.0,124000.0,STEM,1
Physics,50300.0,97300.0,56000.0,178000.0,STEM,1
Political Science,40800.0,78200.0,41200.0,168000.0,HASS,0
Psychology,35900.0,60400.0,31600.0,127000.0,HASS,2
Religion,34100.0,52000.0,29700.0,96400.0,HASS,2
Sociology,36500.0,58200.0,30700.0,118000.0,HASS,2
Spanish,34000.0,53100.0,31000.0,96400.0,HASS,2
